PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,brca1-p1_activity-Activity_Score,brca1-p1_activity-Curve_Description,brca1-p1_activity-Fit_LogAC50,brca1-p1_activity-Fit_HillSlope,brca1-p1_activity-Fit_R2,brca1-p1_activity-Fit_InfiniteActivity,brca1-p1_activity-Fit_ZeroActivity,brca1-p1_activity-Fit_CurveClass,brca1-p1_activity-Excluded_Points,brca1-p1_activity-Max_Response,brca1-p1_activity-Activity at 0.092 uM,brca1-p1_activity-Activity at 0.184 uM,brca1-p1_activity-Activity at 0.258 uM,brca1-p1_activity-Activity at 0.337 uM,brca1-p1_activity-Activity at 0.369 uM,brca1-p1_activity-Activity at 0.517 uM,brca1-p1_activity-Activity at 0.737 uM,brca1-p1_activity-Activity at 0.922 uM,brca1-p1_activity-Activity at 1.290 uM,brca1-p1_activity-Activity at 1.840 uM,brca1-p1_activity-Activity at 2.115 uM,brca1-p1_activity-Activity at 2.587 uM,brca1-p1_activity-Activity at 3.690 uM,brca1-p1_activity-Activity at 4.610 uM,brca1-p1_activity-Activity at 6.450 uM,brca1-p1_activity-Activity at 9.218 uM,brca1-p1_activity-Activity at 12.69 uM,brca1-p1_activity-Activity at 18.70 uM,brca1-p1_activity-Activity at 36.87 uM,brca1-p1_activity-Activity at 46.10 uM,brca1-p1_activity-Activity at 64.71 uM,brca1-p1_activity-Activity at 92.20 uM,Compound QC
1956,24804351,935468,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000764879-01/146547345,,Activator,2.8184,136.865,,87,Complete curve; high efficacy,-5.55,3.0654,0.9995,137.542,0.6764,1.1,0 0 0 0,135.643,,,,,0.3544,,,,,30.6533,,,,,,135.616,,,,135.643,,,QC'd by Asinex Ltd.
1957,24804451,828717,Active,50,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000718774-01/146289541,,Activator,12.5893,465.319,,50,Partial curve; high efficacy,-4.9,4.5045,0.9996,507.439,42.1197,2.1,0 0 0 0,506.426,,,,,38.4292,,,,,48.8558,,,,,,132.066,,,,506.426,,,QC'd by Asinex Ltd.
1958,24804452,3163467,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000718787-01/146282591,,Activator,7.9433,116.015,,44,Partial curve; high efficacy,-5.1,1.8851,0.9986,121.507,5.4916,2.1,0 0 0 0,117.739,,,,,7.9063,,,,,9.7086,,,,,,71.4173,,,,117.739,,,QC'd by Asinex Ltd.
1959,24804468,1091333,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000764839-01/146405639,,Activator,11.2202,103.39,,42,Partial curve; high efficacy,-4.95,1.1341,0.9999,101.497,-1.8923,2.1,0 0 0 0,84.1603,,,,,0.2373,,,,,10.4587,,,,,,43.946,,,,84.1603,,,QC'd by Asinex Ltd.
1960,24804503,1511025,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000718762-01/146282805,,Activator,3.9811,184.651,,89,Complete curve; high efficacy,-5.4,1.6259,0.9996,190,5.3488,1.1,0 0 0 0,188.492,,,,,10.1995,,,,,46.3637,,,,,,150.399,,,,188.492,,,QC'd by Asinex Ltd.
1961,24804524,862691,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000708430-01/146486026,,Activator,10,183.89,,44,Partial curve; high efficacy,-5,0.8,0.9995,172.763,-11.1276,2.1,0 0 0 0,132.082,,,,,1.1681,,,,,27.3395,,,,,,75.9862,,,,132.082,,,QC'd by Asinex Ltd.
1962,24804643,935651,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000764875-01/146259167,,Activator,7.0795,255.03,,48,Partial curve; high efficacy,-5.15,0.9,0.9994,257.044,2.0138,2.1,0 0 0 0,218.575,,,,,17.1917,,,,,62.6611,,,,,,142.528,,,,218.575,,,QC'd by Asinex Ltd.
1963,24804674,893353,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000708491-01/146586133,,Activator,3.5481,141.344,,86,Complete curve; high efficacy,-5.45,2.0437,0.9998,132.746,-8.5978,1.1,0 0 0 0,132.482,,,,,-6.0107,,,,,19.5522,,,,,,115.391,,,,132.482,,,QC'd by Asinex Ltd.
1964,24804724,2908011,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000708506-01/146585824,,Activator,4.4668,104.81,,44,Partial curve; high efficacy,-5.35,1.3987,0.9999,100.965,-3.8448,2.1,0 0 0 0,97.2686,,,,,-0.0907,,,,,19.0865,,,,,,72.8236,,,,97.2686,,,QC'd by Asinex Ltd.
1965,24804901,5759262,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000709938-01/146332176,,Activator,12.5893,232.986,,45,Partial curve; high efficacy,-4.9,1.01,0.9986,227.081,-5.9052,2.1,0 0 0 0,180.223,,,,,-0.4053,,,,,25.6952,,,,,,88.8326,,,,180.223,,,QC'd by Asinex Ltd.
1966,24804980,1450984,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000718337-01/146349122,,Activator,11.2202,137.591,,43,Partial curve; high efficacy,-4.95,4.9549,0.9999,150.669,13.0783,2.1,0 0 0 0,150.369,,,,,12.7023,,,,,13.3214,,,,,,50.1353,,,,150.369,,,QC'd by Asinex Ltd.
1967,24805083,5395063,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000688798-01/146584778,,Activator,8.9125,228.068,,46,Partial curve; high efficacy,-5.05,2.2526,0.9986,217.392,-10.6756,2.1,0 0 0 0,209.434,,,,,-7.8809,,,,,-8.8963,,,,,,111.178,,,,209.434,,,QC'd by Asinex Ltd.
1968,24805110,724683,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000687671-01/146583623,,Activator,10,124.608,,43,Partial curve; high efficacy,-5,4.9549,0.9997,124.608,0,2.1,0 0 0 0,125.109,,,,,0.9806,,,,,0.3454,,,,,,48.7252,,,,125.109,,,QC'd by Asinex Ltd.
1969,24805112,1728696,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000687630-01/146586345,,Activator,5.6234,187.531,,47,Partial curve; high efficacy,-5.25,1.21,0.9999,190.026,2.494,2.1,0 0 0 0,175.95,,,,,9.6818,,,,,41.1946,,,,,,122.838,,,,175.95,,,QC'd by Asinex Ltd.
1970,24805121,817328,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000687464-01/146529727,,Activator,7.9433,226.408,,46,Partial curve; high efficacy,-5.1,1.9673,0.9985,205.711,-20.6971,2.1,0 0 0 0,198.18,,,,,-16.3537,,,,,-13.845,,,,,,111.704,,,,198.18,,,QC'd by Asinex Ltd.
1971,24805163,677494,Active,50,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000689201-01/146530241,,Activator,3.5481,235.804,,50,Partial curve; high efficacy,-5.45,1.0641,0.9996,218.541,-17.2631,2.1,0 0 0 0,203.483,,,,,0.3878,,,,,63.2975,,,,,,155.63,,,,203.483,,,QC'd by Asinex Ltd.
1972,24805270,735513,Active,90,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000712237-01/146547650,,Activator,3.9811,218.858,,90,Complete curve; high efficacy,-5.4,2.3531,0.9997,222.089,3.2301,1.1,0 0 0 0,219.022,,,,,3.6831,,,,,33.8029,,,,,,197.63,,,,219.022,,,QC'd by Asinex Ltd.
1973,24805297,751739,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000687142-01/146443382,,Activator,4.4668,139.284,,85,Complete curve; high efficacy,-5.35,1.7529,1,125.86,-13.4244,1.1,0 0 0 0,123.392,,,,,-11.7501,,,,,10.9064,,,,,,95.9373,,,,123.392,,,QC'd by Asinex Ltd.
1974,24805301,830339,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000707843-01/146545367,,Activator,5.6234,174.474,,46,Partial curve; high efficacy,-5.25,2.0937,0.9999,158.329,-16.145,2.1,0 0 0 0,156.143,,,,,-16.3287,,,,,-0.9084,,,,,,113.647,,,,156.143,,,QC'd by Asinex Ltd.
1975,24805344,804228,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000712069-01/146486926,,Activator,3.1623,196.017,,89,Complete curve; high efficacy,-5.5,2.4064,0.9996,175.958,-20.0584,1.1,0 0 0 0,174.562,,,,,-20.785,,,,,24.0866,,,,,,163.169,,,,174.562,,,QC'd by Asinex Ltd.
1976,24805361,1090725,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000765378-01/146409801,,Activator,12.5893,159.555,,43,Partial curve; high efficacy,-4.9,4.5045,0.9997,159.851,0.2964,2.1,0 0 0 0,159.532,,,,,1.7925,,,,,-1.0915,,,,,,32.3952,,,,159.532,,,QC'd by Asinex Ltd.
1977,24805478,9585703,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000712199-01/146332770,,Activator,8.9125,194.669,,45,Partial curve; high efficacy,-5.05,0.8,1,170.03,-24.6385,2.1,0 0 0 0,129.399,,,,,-10.6145,,,,,18.3664,,,,,,73.8948,,,,129.399,,,QC'd by Asinex Ltd.
1978,24805509,9567960,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000765323-01/146625541,,Activator,10,194.536,,45,Partial curve; high efficacy,-5,1.6259,0.9999,190.438,-4.098,2.1,0 0 0 0,175.357,,,,,-2.6732,,,,,7.132,,,,,,88.1145,,,,175.357,,,QC'd by Asinex Ltd.
1979,24805515,944522,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000765336-01/146500428,,Activator,3.1623,134.163,,86,Complete curve; high efficacy,-5.5,1.4781,0.9998,128.481,-5.6821,1.1,0 0 0 0,125.225,,,,,-0.5428,,,,,36.1174,,,,,,106.582,,,,125.225,,,QC'd by Asinex Ltd.
1980,24805518,9586575,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000765342-01/146301101,,Activator,11.2202,129.834,,43,Partial curve; high efficacy,-4.95,4.9549,0.9994,137.071,7.2373,2.1,0 0 0 0,136.798,,,,,8.9016,,,,,5.2112,,,,,,43.3714,,,,136.798,,,QC'd by Asinex Ltd.
1981,24805563,182638,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000712128-01/146584736,,Activator,10,163.579,,44,Partial curve; high efficacy,-5,3.5117,1,158.832,-4.747,2.1,0 0 0 0,158.515,,,,,-5.3211,,,,,-4.0616,,,,,,65.4405,,,,158.515,,,QC'd by Asinex Ltd.
1982,24805568,9586712,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000765314-01/146443760,,Activator,3.9811,157.754,,88,Complete curve; high efficacy,-5.4,1.5095,0.9999,174.985,17.2318,1.1,0 0 0 0,171.554,,,,,21.7126,,,,,54.2358,,,,,,139.208,,,,171.554,,,QC'd by Asinex Ltd.
1983,24805574,775902,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000707874-01/146488583,,Activator,12.5893,135.262,,43,Partial curve; high efficacy,-4.9,4.095,0.9998,140.662,5.3996,2.1,0 0 0 0,139.546,,,,,6.4874,,,,,4.5567,,,,,,35.2407,,,,139.546,,,QC'd by Asinex Ltd.
1984,24805630,9591727,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000687656-01/146485340,,Activator,10,149.74,,44,Partial curve; high efficacy,-5,3.5117,0.9995,150.584,0.8445,2.1,0 0 0 0,150.284,,,,,2.9422,,,,,-0.5532,,,,,,65.3248,,,,150.284,,,QC'd by Asinex Ltd.
1985,24805728,3121935,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000687492-01/146438413,,Activator,10,125.315,,43,Partial curve; high efficacy,-5,4.045,1,122.098,-3.217,2.1,0 0 0 0,121.854,,,,,-3.2019,,,,,-2.9966,,,,,,49.2829,,,,121.854,,,QC'd by Asinex Ltd.
1986,24805824,723068,Active,49,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000688142-01/146590488,,Activator,4.4668,206.677,,49,Partial curve; high efficacy,-5.35,1,1,216.215,9.5375,2.1,0 0 0 0,197.999,,,,,24.59,,,,,69.8511,,,,,,149.029,,,,197.999,,,QC'd by Asinex Ltd.
1987,24806223,875146,Active,49,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000684614-01/146301113,,Activator,5.0119,233.741,,49,Partial curve; high efficacy,-5.3,1.6436,0.9998,231.469,-2.272,2.1,0 0 0 0,228.274,,,,,1.0702,,,,,34.4987,,,,,,168.966,,,,228.274,,,QC'd by ChemBridge
1988,24806285,804363,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000765242-01/146486103,,Activator,2.5119,102.298,,86,Complete curve; high efficacy,-5.6,2.4064,0.9996,109.798,7.5,1.1,0 0 0 0,108.282,,,,,8.4587,,,,,40.1336,,,,,,106.533,,,,108.282,,,QC'd by Asinex Ltd.
1989,24806295,811319,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000692753-01/146491859,,Activator,2.8184,111.142,,87,Complete curve; high efficacy,-5.55,3.9295,0.9991,125.472,14.3299,1.1,0 0 0 0,123.585,,,,,15.7458,,,,,30.7134,,,,,,125.976,,,,123.585,,,QC'd by Asinex Ltd.
1990,24806302,894044,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000708699-01/146531816,,Activator,2.8184,121.594,,87,Complete curve; high efficacy,-5.55,2.1876,0.9996,126.335,4.7408,1.1,0 0 0 0,124.591,,,,,6.0717,,,,,39.4907,,,,,,119.098,,,,124.591,,,QC'd by Asinex Ltd.
1991,24806337,9587470,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000765159-01/146596211,,Activator,4.4668,144.745,,87,Complete curve; high efficacy,-5.35,3.2975,0.9997,157.184,12.4387,1.1,0 0 0 0,158.771,,,,,12.4334,,,,,20.4803,,,,,,143.72,,,,158.771,,,QC'd by null
1992,24806339,2274654,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000765156-01/146584317,,Activator,11.2202,143.411,,43,Partial curve; high efficacy,-4.95,4.9549,0.9995,135.294,-8.1172,2.1,0 0 0 0,135.838,,,,,-7.9626,,,,,-6.7728,,,,,,29.1955,,,,135.838,,,QC'd by Asinex Ltd.
1993,24806352,3101511,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000688203-01/146328921,,Activator,4.4668,130.306,,86,Complete curve; high efficacy,-5.35,1.9887,0.9998,149.415,19.1086,1.1,0 0 0 0,148.229,,,,,20.8383,,,,,36.8878,,,,,,124.225,,,,148.229,,,QC'd by Asinex Ltd.
1994,24806359,1451472,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000856791-01/146333393,,Activator,3.5481,111.466,,45,Partial curve; high efficacy,-5.45,1.0641,0.9999,96.7739,-14.692,2.1,0 0 0 0,90.1061,,,,,-5.1396,,,,,21.9445,,,,,,66.5154,,,,90.1061,,,QC'd by Asinex Ltd.
1995,24806405,2174265,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000765281-01/146437790,,Activator,3.5481,163.414,,47,Partial curve; high efficacy,-5.45,1.2216,1,155.335,-8.0796,2.1,0 0 0 0,148.788,,,,,1.8858,,,,,42.7938,,,,,,115.913,,,,148.788,,,QC'd by Asinex Ltd.
1996,24806449,9593969,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000717805-01/146332240,,Activator,10,186.151,,45,Partial curve; high efficacy,-5,2.1876,0.9998,181.667,-4.4837,2.1,0 0 0 0,176.034,,,,,-5.2471,,,,,0.921,,,,,,78.8965,,,,176.034,,,QC'd by Asinex Ltd.
1997,24806521,885223,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000856803-01/146546630,,Activator,12.5893,181.294,,44,Partial curve; high efficacy,-4.9,1.111,0.9991,179.845,-1.4491,2.1,0 0 0 0,145.506,,,,,0.5996,,,,,20.1542,,,,,,71.9955,,,,145.506,,,QC'd by Asinex Ltd.
1998,24806541,551256,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000688244-01/146329109,,Activator,2.2387,142.707,,88,Complete curve; high efficacy,-5.65,1.3443,0.9998,136.93,-5.7762,1.1,0 0 0 0,135.04,,,,,6.6807,,,,,55.2426,,,,,,118.337,,,,135.04,,,QC'd by Asinex Ltd.
1999,24806642,9586284,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000706266-01/146530286,,Activator,8.9125,219.272,,46,Partial curve; high efficacy,-5.05,1.7137,0.9994,214.583,-4.6882,2.1,0 0 0 0,200.921,,,,,-4.7639,,,,,7.6328,,,,,,111.44,,,,200.921,,,QC'd by Asinex Ltd.
2000,24806649,863078,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000692751-01/146490043,,Activator,11.2202,211.008,,45,Partial curve; high efficacy,-4.95,1.4163,0.9999,222.115,11.107,2.1,0 0 0 0,196.911,,,,,11.7949,,,,,25.8503,,,,,,103.128,,,,196.911,,,QC'd by Asinex Ltd.
2001,24806946,731713,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000687990-01/146590948,,Activator,11.2202,106.002,,42,Partial curve; high efficacy,-4.95,4.9549,0.9993,105.538,-0.4636,2.1,0 0 0 0,105.962,,,,,0.9586,,,,,-1.28,,,,,,27.007,,,,105.962,,,QC'd by Asinex Ltd.
2002,24806952,6870398,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000687977-01/146389882,,Activator,7.0795,100.433,,43,Partial curve; high efficacy,-5.15,4.095,0.9998,98.0675,-2.365,2.1,0 0 0 0,98.4614,,,,,-3.2421,,,,,-1.4339,,,,,,72.577,,,,98.4614,,,QC'd by Asinex Ltd.
2003,24807055,842014,Active,91,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000708751-01/146499710,,Activator,3.1623,232.299,,91,Complete curve; high efficacy,-5.5,2.1876,1,224.06,-8.2392,1.1,0 0 0 0,223.613,,,,,-6.866,,,,,46.2498,,,,,,202.792,,,,223.613,,,QC'd by Asinex Ltd.
2004,24807164,1084374,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000764722-01/146598284,,Activator,12.5893,103.406,,42,Partial curve; high efficacy,-4.9,4.095,0.9999,104.957,1.5512,2.1,0 0 0 0,104.748,,,,,1.3345,,,,,1.7602,,,,,,23.4651,,,,104.748,,,QC'd by Asinex Ltd.
2005,24807271,6411189,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000717694-01/146258809,,Activator,5.6234,182.908,,48,Partial curve; high efficacy,-5.25,2.2481,0.9998,204.685,21.7777,2.1,0 0 0 0,204.277,,,,,22.7962,,,,,35.0758,,,,,,157.699,,,,204.277,,,QC'd by Asinex Ltd.
2006,24807355,9567025,Active,97,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000764670-01/146349637,,Activator,1.122,255.743,,97,Complete curve; high efficacy,-5.95,1.01,1,239.857,-15.8854,1.1,0 0 0 0,233.779,,,,,46.8916,,,,,143.758,,,,,,213.093,,,,233.779,,,QC'd by Asinex Ltd.
2007,24807429,1094117,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000764694-01/146350324,,Activator,11.2202,131.509,,42,Partial curve; high efficacy,-4.95,4.9549,0.999,103.087,-28.4226,2.1,0 0 0 0,103.521,,,,,-28.6416,,,,,-26.6642,,,,,,4.7872,,,,103.521,,,QC'd by Asinex Ltd.
2008,24807506,1450301,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000765721-01/146398620,,Activator,1.9953,128.518,,89,Complete curve; high efficacy,-5.7,1.1,1,149.934,21.4162,1.1,0 0 0 0,146.134,,,,,39.0533,,,,,82.5785,,,,,,129.764,,,,146.134,,,QC'd by Asinex Ltd.
2009,24807552,3163812,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000765745-01/146280226,,Activator,10,258.788,,46,Partial curve; high efficacy,-5,0.9,0.9988,241.847,-16.9413,2.1,0 0 0 0,192.861,,,,,-4.2617,,,,,31.2434,,,,,,104.035,,,,192.861,,,QC'd by Asinex Ltd.
2010,24807554,1504302,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000765739-01/146341436,,Activator,7.9433,230.405,,47,Partial curve; high efficacy,-5.1,1.8851,0.9996,229.306,-1.0982,2.1,0 0 0 0,219.642,,,,,0,,,,,11.7087,,,,,,133.454,,,,219.642,,,QC'd by Asinex Ltd.
2011,24807596,5332798,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000856301-01/146546334,,Activator,10,124.475,,43,Partial curve; high efficacy,-5,4.9549,0.9989,123.935,-0.5399,2.1,0 0 0 0,125.187,,,,,0.9718,,,,,-0.9756,,,,,,46.7102,,,,125.187,,,QC'd by Asinex Ltd.
2012,24807615,973997,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000764648-01/146598908,,Activator,5.6234,136.922,,45,Partial curve; high efficacy,-5.25,0.9,0.999,142.43,5.5079,2.1,0 0 0 0,125.6,,,,,15.4415,,,,,43.6499,,,,,,87.1639,,,,125.6,,,QC'd by Asinex Ltd.
2013,24807629,288577,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000712372-01/146547626,,Activator,2.2387,157.879,,88,Complete curve; high efficacy,-5.65,1.3723,0.9998,144.122,-13.7571,1.1,0 0 0 0,141.296,,,,,-0.8066,,,,,53.4711,,,,,,124.625,,,,141.296,,,QC'd by Asinex Ltd.
2014,24807652,859027,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000712143-01/146528642,,Activator,7.0795,202.455,,47,Partial curve; high efficacy,-5.15,1.4787,0.9999,204.336,1.8811,2.1,0 0 0 0,192.407,,,,,4.3015,,,,,25.6882,,,,,,123.657,,,,192.407,,,QC'd by Asinex Ltd.
2015,24807674,220926,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000687404-01/146491892,,Activator,5.0119,129.719,,85,Complete curve; high efficacy,-5.3,2.3531,0.9986,131.622,1.9038,1.1,0 0 0 0,132.151,,,,,-0.0662,,,,,16.2036,,,,,,105.427,,,,132.151,,,QC'd by Asinex Ltd.
2016,24807828,9563419,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000712392-01/146258824,,Activator,12.5893,123.787,,43,Partial curve; high efficacy,-4.9,4.5045,0.9991,155.171,31.3837,2.1,0 0 0 0,154.861,,,,,29.3262,,,,,33.73,,,,,,55.5569,,,,154.861,,,QC'd by Asinex Ltd.
2017,24807890,1141748,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000707960-01/146492093,,Activator,10,115.252,,43,Partial curve; high efficacy,-5,4.5045,0.9997,116.414,1.1616,2.1,0 0 0 0,116.181,,,,,0.0195,,,,,2.2819,,,,,,47.9544,,,,116.181,,,QC'd by Asinex Ltd.
2018,24807930,6411200,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000708030-01/146497325,,Activator,6.3096,219.246,,87,Complete curve; high efficacy,-5.2,4.9549,0.9989,202.948,-16.2981,1.1,0 0 0 0,201.338,,,,,-11.4087,,,,,-20.0385,,,,,,174.972,,,,201.338,,,QC'd by Asinex Ltd.
2019,24808038,3152645,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000717709-01/146399054,,Activator,7.9433,140.808,,45,Partial curve; high efficacy,-5.1,0.9,0.9999,154.396,13.5872,2.1,0 0 0 0,130.622,,,,,21.9247,,,,,43.6689,,,,,,88.1502,,,,130.622,,,QC'd by Asinex Ltd.
2020,24808069,708717,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000708015-01/146590819,,Activator,14.1254,100.221,,42,Partial curve; high efficacy,-4.85,1.2876,0.999,102.847,2.6268,2.1,0 0 0 0,86.1368,,,,,2.4053,,,,,10.4071,,,,,,38.7228,,,,86.1368,,,QC'd by Asinex Ltd.
2021,24808114,740225,Active,91,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000707396-01/146291980,,Activator,2.5119,202.289,,91,Complete curve; high efficacy,-5.6,2.2526,0.9991,206.216,3.9264,1.1,0 0 0 0,202.172,,,,,5.8521,,,,,70.9293,,,,,,199.183,,,,202.172,,,QC'd by Asinex Ltd.
2022,24808118,738366,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000708556-01/146300142,,Activator,8.9125,138.137,,44,Partial curve; high efficacy,-5.05,2.3332,0.9997,136.087,-2.0495,2.1,0 0 0 0,133.419,,,,,-0.5912,,,,,0.2345,,,,,,70.0584,,,,133.419,,,QC'd by Asinex Ltd.
2023,24808203,5394433,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000713018-01/146398237,,Activator,11.2202,185.261,,44,Partial curve; high efficacy,-4.95,4.095,1,184.063,-1.1977,2.1,0 0 0 0,183.695,,,,,-0.6195,,,,,-0.9981,,,,,,56.1618,,,,183.695,,,QC'd by Asinex Ltd.
2024,24808397,6411230,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000706682-01/146485516,,Activator,11.2202,234.895,,45,Partial curve; high efficacy,-4.95,1.2475,0.9999,227.217,-7.6784,2.1,0 0 0 0,192.231,,,,,-5.5745,,,,,15.8843,,,,,,95.2233,,,,192.231,,,QC'd by Asinex Ltd.
2025,24808457,5759007,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000687334-01/146491489,,Activator,1.7783,115.228,,87,Complete curve; high efficacy,-5.75,1.4641,0.9998,107.549,-7.6795,1.1,0 0 0 0,105.44,,,,,3.0458,,,,,51.299,,,,,,98.2325,,,,105.44,,,QC'd by Asinex Ltd.
2026,24808466,5749163,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000693141-01/146625335,,Activator,7.0795,112.469,,43,Partial curve; high efficacy,-5.15,1.8851,0.9989,107.671,-4.798,2.1,0 0 0 0,104.943,,,,,-2.2124,,,,,1.5746,,,,,,64.5242,,,,104.943,,,QC'd by Asinex Ltd.
2027,24808487,5348455,Active,90,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000706743-01/146328749,,Activator,2.8184,203.684,,90,Complete curve; high efficacy,-5.55,1.2876,0.9999,186.65,-17.0343,1.1,0 0 0 0,180.862,,,,,-4.1725,,,,,58.395,,,,,,149.931,,,,180.862,,,QC'd by Asinex Ltd.
2028,24808542,5771014,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000856048-01/146399410,,Activator,11.2202,137.352,,43,Partial curve; high efficacy,-4.95,4.9549,0.9988,145.715,8.3634,2.1,0 0 0 0,146.301,,,,,11.5029,,,,,6.9101,,,,,,44.3015,,,,146.301,,,QC'd by Asinex Ltd.
2029,24808625,16192923,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000718845-01/146583719,,Activator,8.9125,127.05,,43,Partial curve; high efficacy,-5.05,2.2526,1,119.227,-7.8232,2.1,0 0 0 0,116.206,,,,,-7.5506,,,,,-4.3426,,,,,,58.3568,,,,116.206,,,QC'd by Asinex Ltd.
2030,24808681,2839452,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000707313-01/146528321,,Activator,12.5893,187.406,,44,Partial curve; high efficacy,-4.9,4.095,0.9999,189.275,1.8692,2.1,0 0 0 0,188.897,,,,,2.113,,,,,1.979,,,,,,41.3663,,,,188.897,,,QC'd by Asinex Ltd.
